location,lat,lon
"Law College Road, Pune, Maharashtra, India",18.5142526,73.8287151
"Ravet, Pune, Maharashtra, India",18.6606495,73.73215850000001
"Pune-Nashik Road, Bhosari, Pune, Maharashtra, India",18.6182375,73.8368617
"Wagholi Chowk, Pune, Maharashtra, India",18.5829876,73.97940899999999
"World Trade Center Road, Pune, Maharashtra, India",18.5526296,73.9485287
"Kothrud, Pune, Maharashtra, India",18.5073514,73.8076543
"Swargate Underpass, Pune, Maharashtra, India",18.523999,73.94205199999999
"Yerawada Bridge, Pune, Maharashtra, India",18.5433215,73.8849071
"Pune-Solapur Highway, Pune, Maharashtra, India",18.5032043,73.9243079
"Chakan MIDC, Pune, Maharashtra, India",18.5204303,73.8567437
"Phase 1 Chowk, Hinjewadi, Pune, Maharashtra, India",18.588307,73.7374885
"Amanora Mall Frontage, Pune, Maharashtra, India",18.518534,73.9350918
"Katraj Ghat, Pune, Maharashtra, India",18.4216354,73.8601013
"Near Pune Railway Station, Pune, Maharashtra, India",18.5212669,73.8689313
"Baner-Pashan Link Road, Pune, Maharashtra, India",18.5491621,73.7912816
"Dehu Road, Pune, Maharashtra, India",18.6860277,73.74771419999999
"Jyoti Chowk, Kondhwa, Pune, Maharashtra, India",18.4748584,73.88527909999999
"Pimpri Chowk, Pune, Maharashtra, India",18.514002,73.8678779
"Pimple Gurav Road, Pune, Maharashtra, India",18.5941065,73.8194144
"Shriram Dhaba, Jejuri-Morgaon Road, Pune, Maharashtra, India",18.5915666,73.74038759999999
"Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India",18.4506188,73.8609982
"Near Mahadev Kundeshwar Temple, Khed, Pune, Maharashtra, India",18.9101844,73.7151004
"Indrayani River Bridge, near Chikhali, Pune, Maharashtra, India",18.6856266,73.8191946
"Near Medipoint Hospital, Aundh, Pune, Maharashtra, India",18.5650206,73.80242679999999
"Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India",18.6606495,73.73215850000001
"Bhumkar Chowk, Wakad-Hinjewadi Road, Pune, Maharashtra, India",18.5920977,73.7552922
"Handewadi Road, Hadapsar, Pune, Maharashtra, India",18.4805166,73.931239
"Near Kharadi IT Park, Nagar Highway, Pune, Maharashtra, India",18.5512362,73.95073339999999
"Phase II Road, Hinjewadi, Pune, Maharashtra, India",18.5961305,73.7154018
"Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India",18.4735982,73.7932857
"Bakori Road, Wagholi, Pune, Maharashtra, India",18.5936066,74.0129981
"Baramati Airfield Perimeter, Pune, Maharashtra, India",18.225071,74.58954179999999
"Near Waghjai Temple, Hinjewadi Road, Pune, Maharashtra, India",18.5909041,73.7507266
"Mumbai-Bengaluru Highway, Bavdhan, Pune, Maharashtra, India",18.5180063,73.7689289
"Grade Separator, Pimpri, Pune, Maharashtra, India",18.6263131,73.805498
"Near Tilekar Nagar, Kondhwa, Pune, Maharashtra, India",18.4470441,73.8816001
"Mumbai-Pune Expressway, Lonavala, Pune, Maharashtra, India",18.7661274,73.4115775
"Shivaji Road, Shaniwar Wada, Pune, Maharashtra, India",18.5195841,73.85542079999999
"Khadki Railway Underpass, Pune, Maharashtra, India",18.5631806,73.8406198
"Punawale-Highway Underpass, Pune, Maharashtra, India",18.6342976,73.7408248
"Triveni Nagar Chowk, Nigdi-Talawade, Pune, Maharashtra, India",18.6685177,73.7856865
"Mumbai-Pune Expressway, Urse, Pune, Maharashtra, India",18.7157143,73.6416542
"Aundh Road-University Junction, Pune, Maharashtra, India",18.5627653,73.8266073
"Jejuri Road, Saswad, Pune, Maharashtra, India",18.4842269,73.95366
"Tamhini Ghat Main Curve, Mulshi, Pune, Maharashtra, India",18.4759109,73.45924169999999
"North Main Road, Koregaon Park, Pune, Maharashtra, India",18.539518,73.89457
"Pashan-Sus Link Road, Pune, Maharashtra, India",18.5426508,73.7899978
"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",18.4816683,73.8761181
"Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India",18.6773435,73.862843
"Mumbai-Bengaluru Highway, Warje, Pune, Maharashtra, India",18.4858575,73.7977251
"Senapati Bapat Road, Near Marriott, Pune, Maharashtra, India",18.5304378,73.8299152
"Katraj Tunnel Approach, Pune, Maharashtra, India",18.4004638,73.8498874
"Sinhagad Road, Dhayari, Pune, Maharashtra, India",18.4606623,73.8123814
"Loni Kalbhor Canal, Pune, Maharashtra, India",18.5327354,73.8440761
"Deep Bungalow Chowk, Pune, Maharashtra, India",18.5297503,73.835741
"Pune-Ahmednagar Road, Wadgaon Sheri, Pune, Maharashtra, India",18.5608041,73.9181975
"Varandha Ghat Road, Bhor, Pune, Maharashtra, India",18.1111733,73.6670292
"Lane 7, Kalyani Nagar, Pune, Maharashtra, India",18.5381771,73.8996985
"New Sangvi, Pune, Maharashtra, India",18.5793178,73.8142604
"Phase 3 Main Road, Hinjewadi, Pune, Maharashtra, India",18.623236,73.8695379
"Solapur Road, Fatima Nagar, Pune, Maharashtra, India",18.5064079,73.9052922
"Mumbai-Pune Expressway, Kamshet, Pune, Maharashtra, India",18.7693125,73.4043386
"Talegaon Road, Chakan, Pune, Maharashtra, India",18.7386836,73.7529882
"Pune-Solapur Road, Manjari, Pune, Maharashtra, India",18.1636098,74.9612757
"Mulshi-Pirangut Road, Pune, Maharashtra, India",18.5126904,73.6795585
"Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India",18.5420178,73.8852113
"Expressway Ghat Section, Pune, Maharashtra, India",18.5175304,73.8631881
"Nhavare-Chaufula Road, Shirur, Pune, Maharashtra, India",18.6627708,74.369084
"Pune-Ahmednagar Road, Wagholi, Pune, Maharashtra, India",18.5791693,73.9736629
"Hinjewadi Flyover, Pune, Maharashtra, India",18.5925431,73.7572568
"Bhosari Sector, Pune-Nashik Road, Pune, Maharashtra, India",18.6182375,73.8368617
"Phursungi Main Road, Pune, Maharashtra, India",18.4823192,73.9587208
"Solapur Highway, Hadapsar, Pune, Maharashtra, India",18.5010857,73.9365251
"Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India",18.1190362,73.9872126
"Mundhwa-Manjari Road, Pune, Maharashtra, India",18.530602,73.9423116
"Chikhali-Pimpri Road, Pune, Maharashtra, India",18.6824723,73.8196095
"Magarpatta City, Hadapsar, Pune, Maharashtra, India",18.5158057,73.9271644
"Expressway Ghats, Pune-Mumbai, Maharashtra, India",18.9581934,72.8320729
"Nagar Road, Wagholi, Pune, Maharashtra, India",18.5770093,73.968678
"Shivar Garden Road, Pune, Maharashtra, India",18.5949626,73.7860994
"Satara Road Exit, Swargate, Pune, Maharashtra, India",18.499538,73.8585313
"Baner Main Road, Pune, Maharashtra, India",18.5579383,73.7929099
"Bhosari, Pune, Maharashtra, India",18.6320627,73.84679779999999
"Fergusson College Road, Pune, Maharashtra, India",18.5175004,73.8416168
"Pune-Solapur Highway, Yavat, Pune, Maharashtra, India",18.4756082,74.2723261
"Camp Area, Pune, Maharashtra, India",18.5258288,73.88056809999999
"Alandi Road Junction, Pune, Maharashtra, India",18.626787,73.8639652
"Kalyani Nagar Junction, Pune, Maharashtra, India",18.5510173,73.9130251
"Alandi Road, Kalas, Pune, Maharashtra, India",18.5871025,73.8752157
"Mundhwa-Kharadi Road, Pune, Maharashtra, India",18.5324891,73.9328965
"Expressway Ghat, Pune side, Maharashtra, India",18.5150696,73.9023924
"Sangamwadi, Pune, Maharashtra, India",18.5349529,73.87618909999999
"Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India",18.5621306,73.923209
"Swargate, Pune, Maharashtra, India",18.5018322,73.8635912
"Satara Road, Pune, Maharashtra, India",18.4775848,73.8572753
"Chakan Industrial Zone, Pune, Maharashtra, India",18.5200229,73.851463
"Main Exit, Pune Railway Station, Pune, Maharashtra, India",18.5284242,73.87386459999999
"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.5904779,73.7271909
"Balewadi Road, Pune, Maharashtra, India",18.5665888,73.7867479
"Solapur Road Flyover, Pune, Maharashtra, India",18.5017449,73.9305685
"Shivajinagar, Pune, Maharashtra, India",18.530263,73.84985879999999
"Wakad Road, Pune, Maharashtra, India",18.5886986,73.7778724
"Lohegaon Road, Pune, Maharashtra, India",18.5943159,73.9376665
"Kothrud Bypass, Pune, Maharashtra, India",18.4991101,73.8191423
"Nashik Highway, Moshi, Pune, Maharashtra, India",18.6720381,73.8484291
"Aundh, Pune, Maharashtra, India",18.5601649,73.8031335
"Jejuri-Morgaon Road, Pune, Maharashtra, India",18.275568,74.2937295
"Navale Bridge Bypass, Pune, Maharashtra, India",18.459773,73.8236242
"Viman Nagar Chowk, Nagar Road, Pune, Maharashtra, India",18.560837,73.9183522
"Mankar Chowk, Wakad BRT Lane, Pune, Maharashtra, India",18.589713,73.774351
"Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India",18.5608041,73.9181975
"Near Bremen Chowk, Aundh Road, Pune, Maharashtra, India",18.559178,73.816039
"Talawade-Triveni Nagar Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India",18.6685177,73.7856865
"Near Jyoti Chowk, Kondhwa, Pune, Maharashtra, India",18.4726176,73.8874548
"Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India",17.7217895,74.2580747
"Paud-Pirangut Road, Mulshi, Pune, Maharashtra, India",18.5130032,73.67793820000001
"Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India",18.6073328,73.8223016
"Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India",18.5786825,73.73703309999999
"Vishrantwadi-Alandi Road, Pune, Maharashtra, India",18.5704323,73.8784178
